array_size,key,N,average_searching_time(ns),index_returned,key_found_at_level
10000,5618,2,245.03,2839,13
10000,5618,3,250.03,2839,9
10000,5618,4,215.23,2839,7
10000,5618,5,199.67,2839,5
10000,5618,6,285.53,2839,6
10000,5618,7,397.61,2839,5
10000,5618,8,250.49,2839,5
10000,5618,9,200.13,2839,2
10000,5618,10,304.95,2839,4
10000,5618,15,385.31,2839,4
10000,5618,20,495.69,2839,3
10000,5618,50,560.38,2839,3
10000,5618,100,635.57,2839,2
10000,5618,500,2366.71,2839,2
10000,5618,1000,4480.82,2839,2
