array_size,key,N,average_searching_time(ns),index_returned,key_found_at_level
10000,5618,2,815.04,2839,13
10000,5618,3,553.48,2839,9
10000,5618,4,403.5,2839,7
10000,5618,5,267.34,2839,5
10000,5618,6,397.9,2839,6
10000,5618,7,536.6,2839,5
10000,5618,8,370.81,2839,5
10000,5618,9,195.8,2839,2
10000,5618,10,390,2839,4
10000,5618,11,297.19,2839,4
10000,5618,12,545.53,2839,4
10000,5618,13,407.78,2839,2
10000,5618,14,476.03,2839,3
10000,5618,15,477.21,2839,4
10000,5618,16,505.98,2839,4
