array_size,key,average_searching_time(ns),index_returned,case_type
50000,28086,9906,23529,average
50000,36313,8091,30353,average
50000,17415,8094,14563,average
50000,45768,8025,38200,average
50000,307,7073,260,average
50000,29717,7066,24883,worst
50000,43604,6999,36427,worst
50000,25769,9532,21585,worst
50000,47953,7171,40002,worst
50000,48758,8888,40669,average
100000,16958,13093,15402,worst
100000,66158,13004,60171,worst
100000,31693,13051,28834,average
100000,52867,13701,48095,worst
100000,70135,12030,63789,worst
100000,78851,10971,71735,worst
100000,25531,12711,23237,worst
100000,7411,14010,6716,worst
100000,57442,14118,-1,worst
100000,32986,12892,30020,average
200000,67613,299462,64406,worst
200000,116754,289453,111202,worst
200000,47649,269208,45391,worst
200000,6195,285011,5896,worst
200000,34402,307639,32758,average
200000,185726,302334,176851,worst
200000,193220,294405,184012,worst
200000,3951,277580,3759,worst
200000,130738,298128,124504,worst
200000,155881,342615,148444,worst
300000,143341,397712,138694,worst
300000,100818,380304,97556,worst
300000,19820,370864,19175,worst
300000,102762,390211,99431,worst
300000,4165,406439,4035,average
300000,124451,408494,120447,average
300000,252468,436961,244319,average
300000,272205,404109,263415,average
300000,84880,396951,82162,worst
300000,195452,385961,189186,average
400000,368110,544640,359105,worst
400000,228261,519706,222663,worst
400000,339252,508069,330959,worst
400000,3132,520654,3058,worst
400000,224135,552240,218634,worst
400000,114786,530800,111955,worst
400000,355791,541050,347082,worst
400000,291838,528629,284675,average
400000,430,542976,421,worst
400000,280972,540760,274084,worst
500000,131091,646029,128562,worst
500000,226503,644494,222139,worst
500000,168959,640097,165727,worst
500000,111867,652994,109689,worst
500000,467142,644096,458006,average
500000,436081,664127,427558,worst
500000,239070,649525,234434,worst
500000,358764,659010,351751,average
500000,489359,660728,479762,worst
500000,442777,635072,434116,worst
600000,460669,757479,453114,average
600000,201823,767506,198545,worst
600000,421787,762270,414904,worst
600000,402873,818611,396288,worst
600000,100150,818423,98547,average
600000,363329,809704,357407,average
600000,298730,772349,293865,worst
600000,39996,775897,39339,worst
600000,388125,736950,381806,worst
600000,460963,800300,453406,worst
700000,465371,910878,458863,average
700000,578870,914804,570723,average
700000,596069,861784,587698,average
700000,101409,907885,99945,average
700000,373158,913549,367966,worst
700000,1670,862967,1648,worst
700000,214301,898267,211291,average
700000,345750,875796,340953,worst
700000,229802,907524,226580,worst
700000,67912,866341,66922,worst
800000,331073,992166,326997,worst
800000,553958,970009,547097,worst
800000,449726,1.01046e+006,444182,worst
800000,500115,988463,493909,worst
800000,557151,984474,550249,worst
800000,604061,992019,596561,average
800000,460952,1.00066e+006,455241,worst
800000,369487,984626,364930,worst
800000,255705,988325,252573,average
800000,622055,981802,614355,worst
900000,894985,1.12064e+006,885119,worst
900000,676456,1.14958e+006,669023,average
900000,524327,1.13555e+006,518516,worst
900000,878676,1.11906e+006,868997,worst
900000,357713,1.20143e+006,353770,average
900000,160171,1.09478e+006,158403,worst
900000,368349,1.12867e+006,364291,average
900000,404613,1.24476e+006,400168,average
900000,128604,1.20737e+006,127200,worst
900000,751909,1.25118e+006,743614,worst
