array_size,key,average_searching_time(ns),index_returned,case_type
5000,2809,32583,-1,worst
5000,3632,11995,-1,worst
5000,1742,20805,-1,worst
5000,4577,15566,-1,worst
5000,31,12004,-1,worst
5000,2972,12005,-1,worst
5000,4361,4578,1394,average
5000,2577,11506,-1,worst
5000,4796,16009,-1,worst
5000,4876,6012,1806,average
10000,1696,41931,-1,worst
10000,6616,28927,-1,worst
10000,3170,16676,6939,average
10000,5287,25325,-1,worst
10000,7014,18710,7809,average
10000,7885,26050,-1,worst
10000,2554,24476,9791,worst
10000,742,27324,-1,worst
10000,5745,2952,1525,average
10000,3299,6055,2832,average
20000,6761,40944,17646,average
20000,11675,4004,2160,average
20000,4765,56687,-1,worst
20000,620,45849,16536,average
20000,3441,28800,8099,average
20000,18572,10022,3584,average
20000,19322,4983,1855,best
20000,396,13882,6166,average
20000,13074,47830,19031,worst
20000,15588,51775,-1,worst
50000,23890,123418,-1,worst
50000,16803,1002,498,best
50000,3304,53859,22739,average
50000,17127,84389,31845,average
50000,695,122619,46708,worst
50000,20742,101666,42737,average
50000,42077,18836,7687,average
50000,45366,97667,39894,average
50000,14147,145272,40927,average
50000,32575,121600,-1,worst
60000,55215,58832,23511,average
60000,34239,150066,58840,worst
60000,50887,139382,-1,worst
60000,470,68025,29186,average
60000,33620,54983,23610,average
60000,17218,69367,29767,average
60000,53368,90475,36757,average
60000,43775,140408,-1,worst
60000,65,9909,4181,best
60000,42145,33969,14173,average
80000,20973,180022,73784,worst
80000,36237,114290,49595,average
80000,27031,143585,55597,average
80000,17897,119324,47971,average
80000,74735,79750,34445,average
80000,69766,193054,-1,worst
80000,38247,190816,-1,worst
80000,57397,134095,57718,average
80000,78289,106385,46054,average
80000,70837,128561,55989,average
100000,76777,143561,60793,average
100000,33637,86442,37284,average
100000,70297,139540,60357,average
100000,67144,230889,99408,worst
100000,16692,234125,97023,worst
100000,60554,44814,19079,average
100000,49788,115287,49554,average
100000,6666,48775,21336,average
100000,64686,185115,79407,average
100000,76826,86385,37552,average
200000,132954,407546,173111,average
200000,165380,471285,-1,worst
200000,170294,230225,99788,average
200000,28972,623812,-1,worst
200000,106610,110250,37892,average
200000,477,384215,147891,average
200000,61225,404837,173288,average
200000,98779,248099,107321,average
200000,65653,262056,113132,average
200000,19402,371475,149092,average
500000,206916,375067,159235,average
500000,346216,1.01197e+006,415716,average
500000,281073,296016,127278,average
500000,312565,985194,406414,average
500000,348211,608734,259368,average
500000,377530,907893,371273,average
500000,288088,129322,52180,average
500000,230924,142113,59804,average
500000,159812,167123,68143,average
500000,388776,395969,166439,average
950000,944674,280577,106833,average
950000,714011,1.71939e+006,697358,average
950000,553437,354394,147007,average
950000,927459,663318,279774,average
950000,377572,384225,165272,average
950000,169063,566481,238708,average
950000,388799,681754,276095,average
950000,427077,553214,233555,average
950000,135744,2.03333e+006,841746,average
950000,793654,1.23842e+006,509290,average
