array_size,key,N,average_searching_time(ns),index_returned,key_found_at_level
500000,280883,2,496.36,275414,19
500000,280883,3,346.73,275414,8
500000,280883,4,473.36,275414,8
500000,280883,5,564.18,275414,8
500000,280883,6,556.86,275414,8
500000,280883,7,597.83,275414,7
500000,280883,8,517.2,275414,7
500000,280883,9,637.29,275414,4
500000,280883,10,684.54,275414,6
500000,280883,11,953.12,275414,5
500000,280883,12,615.25,275414,4
500000,280883,13,466.59,275414,5
500000,280883,14,846.41,275414,5
500000,280883,15,817.85,275414,5
500000,280883,16,703.89,275414,5
